order_book_id,date,low,num_trades,high,open,close,volume,total_turnover
000906.XSHG,2016-09-06,3833.3458,0.0,3898.1093,3859.6279,3894.6291,18511008500.0,223195055711.4
000906.XSHG,2016-09-07,3888.9045,0.0,3913.0483,3895.3158,3893.4066,19613031600.0,224551391485.1
000906.XSHG,2016-09-08,3880.5548,0.0,3899.1852,3890.2716,3896.7005,14438029400.0,171565955288.9
000906.XSHG,2016-09-09,3870.6925,0.0,3904.6867,3896.6719,3870.6925,16132950000.0,190782492424.1
000906.XSHG,2016-09-12,3769.1799,0.0,3821.1489,3813.5074,3793.0336,21295943800.0,239199539898.6
000906.XSHG,2016-09-13,3778.7013,0.0,3807.2265,3801.2801,3796.3614,13581694700.0,158375511397.7
000906.XSHG,2016-09-14,3762.4667,0.0,3791.4629999999997,3778.4333,3771.2071,12875239000.0,148893131845.7
000906.XSHG,2016-09-19,3777.1307,0.0,3803.5189,3777.1307,3803.0233,11380984600.0,131491945060.3
000906.XSHG,2016-09-20,3790.3195,0.0,3804.9509999999996,3804.369,3797.9904,10728981900.0,124368102353.2
000906.XSHG,2016-09-21,3794.6755,0.0,3812.4389,3798.2337,3805.7949,10943332200.0,129109885252.1
000906.XSHG,2016-09-22,3821.3542,0.0,3847.2981,3824.6439,3833.2885,13872514100.0,163951277997.1
000906.XSHG,2016-09-23,3817.4868,0.0,3838.6539,3836.3588,3818.0087,12057229300.0,140092736614.6
000906.XSHG,2016-09-26,3749.5657,0.0,3810.3259999999996,3810.3259999999996,3749.5657,14255884500.0,159621626613.6
000906.XSHG,2016-09-27,3738.5440000000003,0.0,3774.4426,3743.0429999999997,3774.4426,11486108200.0,130264947342.6
000906.XSHG,2016-09-28,3761.218,0.0,3779.3288,3779.3288,3765.4154,9389076000.0,107554370631.8
000906.XSHG,2016-09-29,3770.0006,0.0,3794.7358,3770.0242,3779.5544,10614411400.0,120333121196.8
000906.XSHG,2016-09-30,3773.7165,0.0,3800.14,3774.9164,3792.1095,8994315100.0,105246302208.4
000906.XSHG,2016-10-10,3800.2401,0.0,3846.8242,3808.5463,3846.8242,15324329500.0,177383577294.0
000906.XSHG,2016-10-11,3845.5202,0.0,3864.4994,3849.8671,3864.1741,16656405000.0,178121088646.5
000906.XSHG,2016-10-12,3844.4457,0.0,3860.3119,3854.0355,3858.1907,13638826800.0,149982678394.4
000906.XSHG,2016-10-13,3849.4666,0.0,3867.3399,3857.1683,3860.7102,14969584900.0,158417847292.5
000906.XSHG,2016-10-14,3836.0903,0.0,3861.7643,3855.9757,3860.5136,14817636800.0,156929915099.4
000906.XSHG,2016-10-17,3819.1181,0.0,3866.2156,3862.2506,3827.5586,15781830500.0,171943060935.4
000906.XSHG,2016-10-18,3822.7212,0.0,3880.3247,3822.7212,3880.3247,17655922200.0,190669577960.8
000906.XSHG,2016-10-19,3865.2853,0.0,3893.1674,3883.6469,3873.6388,17621653200.0,183631417558.2
000906.XSHG,2016-10-20,3866.9696,0.0,3881.3407,3874.5039,3876.0992,14481378300.0,158115729996.8
000906.XSHG,2016-10-21,3855.0775,0.0,3896.0751,3873.8922,3879.3266,18298030200.0,190732097378.5
000906.XSHG,2016-10-24,3881.7295,0.0,3936.9019,3883.9764,3923.3373,23909109000.0,243182444935.4
000906.XSHG,2016-10-25,3914.415,0.0,3931.0102,3923.9834,3927.5919,19511492300.0,204891884569.7
000906.XSHG,2016-10-26,3904.2858,0.0,3925.7675,3925.361,3911.3193,17888403000.0,196499913019.6
000906.XSHG,2016-10-27,3887.7474,0.0,3908.9967,3907.2426,3901.5593,14473284900.0,161903923212.5
000906.XSHG,2016-10-28,3883.5957,0.0,3925.2955,3901.7641,3885.8257,16383040500.0,184510038249.7
000906.XSHG,2016-10-31,3860.3,0.0,3886.8864,3876.9394,3882.0435,13160655200.0,152470236842.4
000906.XSHG,2016-11-01,3880.4175,0.0,3910.8246,3884.8899,3910.6774,13747810100.0,156968858108.7
000906.XSHG,2016-11-02,3877.8312,0.0,3907.9301,3901.5484,3880.2052,16349617200.0,183247299007.7
000906.XSHG,2016-11-03,3870.1817,0.0,3929.0518,3872.6469,3911.1497,20377334900.0,226069760514.9
000906.XSHG,2016-11-04,3891.5516,0.0,3924.7193,3908.6088,3898.4476,17470506100.0,192454266153.4
000906.XSHG,2016-11-07,3884.2957,0.0,3909.5675,3897.5646,3901.5426,16869011400.0,170697142688.8
000906.XSHG,2016-11-08,3906.8131,0.0,3932.2914,3913.9822,3919.5887,17559316000.0,183646393475.4
000906.XSHG,2016-11-09,3857.6376,0.0,3921.9272,3919.3939,3895.8935,22717016100.0,241704202677.4
000906.XSHG,2016-11-10,3922.3790000000004,0.0,3951.7916,3922.3790000000004,3941.5577,22533077300.0,229434964720.9
000906.XSHG,2016-11-11,3933.6801,0.0,3976.0877,3939.8345,3971.6917,30915309000.0,308330410587.5
000906.XSHG,2016-11-14,3961.1464,0.0,4007.3239,3962.4301,3987.9309999999996,33991644800.0,337426118912.6
000906.XSHG,2016-11-15,3974.1723,0.0,3994.553,3988.2466,3992.2681,23967723200.0,242991375102.1
000906.XSHG,2016-11-16,3981.9844,0.0,3999.7453,3995.6361,3992.7229,22527718600.0,231738652375.8
000906.XSHG,2016-11-17,3970.6639,0.0,3999.5852,3985.7711,3996.9436,20609704300.0,209305871704.5
000906.XSHG,2016-11-18,3970.2032,0.0,4003.5808,3997.0168,3975.2458,19722975700.0,204248287220.8
000906.XSHG,2016-11-21,3970.2146,0.0,4018.3061,3970.4118,3996.1052,22518637300.0,238195192936.4
000906.XSHG,2016-11-22,3999.3317,0.0,4028.0163,3999.3317,4027.2692,26070125500.0,269235266084.5
000906.XSHG,2016-11-23,4017.3213,0.0,4049.0953,4033.0311,4026.9433,25635174400.0,275151501166.4
000906.XSHG,2016-11-24,4021.4074,0.0,4058.5817,4022.8811,4036.8208,23933260000.0,269791692467.9
000906.XSHG,2016-11-25,4000.2062,0.0,4068.6485,4037.3583,4068.6485,24255614200.0,266861355703.3
000906.XSHG,2016-11-28,4076.2456,0.0,4099.2052,4085.3728,4083.1039,30311684900.0,326582050785.6
000906.XSHG,2016-11-29,4068.0205,0.0,4119.4582,4073.3904,4097.4594,33836526200.0,361023086571.6
